filename,PSNR,SSIM,LPIPS
000000000724,22.125258140950997,0.770358809668643,0.18658465147018433
000000000776,26.068676934005666,0.7066277583106905,0.20051366090774536
000000000785,20.665953634737868,0.4809019999164713,0.27881649136543274
000000000802,30.271528143965924,0.8142737071584463,0.1769503653049469
000000000872,19.992196872463026,0.6348911706670586,0.37303563952445984
000000000885,27.149140982535194,0.7906608054208383,0.17526943981647491
000000001000,24.904712243797427,0.794587397427369,0.13419999182224274
000000001268,17.76415308019115,0.6333678547582997,0.3524251878261566
000000001296,23.473145746810864,0.7225933037648952,0.16865067183971405
000000001353,31.617818701804048,0.8688332261480969,0.129036083817482
000000001425,21.4308490516719,0.6556934898980982,0.34735193848609924
000000001490,21.69815436311883,0.6399656317320145,0.283503919839859
000000001532,25.161443768811264,0.691354279716244,0.2388615608215332
000000001584,26.90878180758835,0.8604693541808948,0.08784843236207962
000000001675,22.408107078358146,0.7620663727317601,0.23829299211502075
000000001761,20.36971717998886,0.46220709678091576,0.6917893290519714
000000001818,19.36180204471516,0.7074297325370463,0.15206125378608704
000000001993,21.925754111436344,0.6260061537886369,0.29196518659591675
000000002006,27.564359805673107,0.8010772706187368,0.13859158754348755
000000002149,31.65597280494373,0.8491117467429775,0.16075581312179565
000000002153,26.276857772802554,0.675538608289226,0.3166104257106781
000000002157,26.51818487050455,0.7763767801423767,0.1788824051618576
000000002261,21.25338535044406,0.5469690327632715,0.33090364933013916
000000002299,19.1656584091124,0.7688435797168769,0.12021090090274811
000000002431,26.58313834319223,0.7538411166350851,0.22930078208446503
000000002473,26.544245883714424,0.8505433414373695,0.17888806760311127
000000002532,21.50612904682295,0.7069053369157808,0.30662983655929565
000000002587,28.33813948471951,0.7430276092284247,0.3310617208480835
000000002592,20.664240721929126,0.6289687680476235,0.2954900860786438
000000002685,25.126472781737597,0.6978787981277307,0.23074796795845032
000000002923,25.432938002863338,0.6158588629081156,0.3955343961715698
000000003156,22.707120190162186,0.6433664193281893,0.2837315499782562
000000003255,20.041400500649182,0.6156840328101553,0.33619871735572815
000000003501,21.01450864266681,0.6527410258872566,0.30474796891212463
000000003553,18.50514054782056,0.7523633723674696,0.17763353884220123
000000003661,34.569428557531495,0.9003121095466614,0.19757694005966187
000000003845,20.422422132675845,0.6569659636474859,0.29580384492874146
000000003934,22.039724656192888,0.7475251882478358,0.24409565329551697
000000004134,20.30671796670726,0.7152377797461972,0.19671235978603363
000000004395,16.662860451879844,0.4334942060814173,0.4106309711933136
000000004495,29.672785833930362,0.7635459061892014,0.24135735630989075
000000004765,23.188540230017356,0.588820142700601,0.3153809607028961
000000004795,23.455475869890563,0.5477809340147375,0.42744433879852295
000000005001,20.521122419204012,0.6590089735666973,0.16381940245628357
000000005037,24.845960055114055,0.8221086131166536,0.10182774066925049
000000005060,20.354989952225075,0.6972766086182641,0.26632916927337646
