filename,PSNR,SSIM,LPIPS
0000,39.11635679320652,0.9688750092964172,0.10553021728992462
0001,29.504709241186934,0.8497264485368728,0.0895644873380661
0002,35.4811041476956,0.9123815430850982,0.1257474422454834
0003,27.122415479155812,0.8240450224402547,0.13355731964111328
0004,27.908935224892254,0.8642264011096954,0.10898341238498688
0005,29.239429527313966,0.8295740160999298,0.13080762326717377
0006,25.1544179277052,0.8601270869797468,0.099872887134552
0007,24.213058607761756,0.8717470789086819,0.09455713629722595
0008,28.391424938705594,0.8329844522910118,0.11491294950246811
0009,26.599409661115928,0.8279023346958161,0.09326555579900742
0010,26.953860797872213,0.8594074359481335,0.121495321393013
0011,31.842577139942314,0.8974102258620262,0.09686117619276047
0012,24.840605385454406,0.7550432356306016,0.17354324460029602
0013,29.046230754265665,0.8651691938838959,0.1557423621416092
0014,29.312329760388206,0.8866105890350342,0.0763276219367981
0015,27.34403159827208,0.8834736193816661,0.06883449107408524
0016,28.703440944394817,0.9055882524542809,0.07493604719638824
0017,29.99580667990971,0.8575589410071373,0.14192214608192444
0018,30.246396201286778,0.8755265661103725,0.04454980045557022
0019,29.70713690253584,0.8484421445758342,0.16251972317695618
0020,30.42946793700885,0.8789086744548679,0.11021862179040909
0021,26.577153912009337,0.8329546170465946,0.10120764374732971
0022,27.338191790968448,0.8865513944690228,0.0717112123966217
0023,34.88324224044234,0.9236675363755226,0.07086426019668579
0024,27.930073157532426,0.79792674076581,0.1125551164150238
0025,28.636640699770865,0.9023475986049175,0.07071151584386826
0026,27.330945372202805,0.8861525809818507,0.04729383811354637
0027,26.807305977859915,0.8380137639533468,0.12815719842910767
0028,28.473140656253054,0.7957600099065005,0.1879226267337799
0029,29.908878092585933,0.881333791713953,0.12821204960346222
0030,28.093732354776428,0.915587369946003,0.08317353576421738
0031,31.259659012413753,0.8380265188212395,0.18127749860286713
0032,25.574990239759018,0.9242951100907326,0.06161841005086899
0033,22.93400996007923,0.8550862521189451,0.09746868163347244
0034,30.24038019235238,0.8513077671236992,0.10971464216709137
0035,25.64132003780844,0.8786270104985238,0.0670703575015068
0036,27.030726434692586,0.8664054721298218,0.0975031778216362
0037,28.12571241201846,0.9022916413296909,0.08287523686885834
0038,31.339653996977717,0.8453998035340309,0.21301637589931488
0039,27.208343129799335,0.585444797144413,0.3598136305809021
0040,29.241745606289882,0.8166359044013023,0.11372990161180496
0041,29.551304602257552,0.8503253704960346,0.10631779581308365
0042,33.99090089458789,0.9289233115200997,0.05178537219762802
0043,28.32038755838272,0.8876096283400059,0.0539524219930172
0044,29.892819477745945,0.8262549420962334,0.12409543246030807
0045,30.663141544297112,0.9307135403459073,0.05566523224115372
0046,27.60393765560053,0.8742692123765945,0.08535339683294296
0047,31.641788847856397,0.8031721618547439,0.18356508016586304
0048,26.305301336688437,0.8312094472914897,0.06115113943815231
0049,27.09116149266917,0.8194370377848148,0.1306331604719162
0050,27.367195138802405,0.8329109566743373,0.1449408233165741
0051,25.768978092984085,0.7538890295119882,0.1950908601284027
0052,27.350329309899486,0.8484319996519089,0.0722493827342987
0053,26.836568001525475,0.7675391218647957,0.20043803751468658
0054,30.085225386566954,0.7203533728836775,0.32035431265830994
0055,27.956326235962145,0.8343874284667969,0.11652575433254242
0056,28.837594355795627,0.867842296400547,0.06433308124542236
0057,24.003905035636535,0.7652585918081999,0.16918110847473145
0058,29.77043535343759,0.8881980862207413,0.07846523821353912
0059,31.643171250493772,0.8049000757961273,0.2944723069667816
0060,31.740505225471797,0.8097838875627518,0.15934614837169647
0061,30.81621230715942,0.7876004825270176,0.20402948558330536
0062,28.706483430098967,0.7865651705675125,0.1675998419523239
0063,33.247773551440794,0.9336539291696548,0.09118664264678955
0064,28.285356465369247,0.8965592826170922,0.06976472586393356
0065,26.460783481111463,0.7971239034830332,0.16025418043136597
0066,28.650824489248873,0.8906708148248196,0.06647870689630508
0067,23.904275885142454,0.9152383003215789,0.06510467082262039
